,run,epoch,train_loss,valid_loss,train_accuracy,valid_accuracy,epoch_duration,run_duration,num_classes,c1_in,c1_out,c1_kernel_w,c1_filter,c1_stride_w,c2_out,c2_kernel_w,c2_filter,c2_stride_w,fc_out,batch_size,lr
0,1,1,2.3413664238637986,2.3275242635648543,0.14098173515981735,0.19406392694063926,1.501570224761963,1.6332991123199463,10,400,100,20,64,4,20,3,128,3,256,64,0.001
1,1,2,2.2744748363756155,2.3142461558999536,0.2317351598173516,0.15753424657534246,1.211798906326294,3.127758502960205,10,400,100,20,64,4,20,3,128,3,256,64,0.001
2,1,3,2.1740913086285873,2.2938371074798445,0.3527397260273973,0.1872146118721461,1.213674783706665,4.619667291641235,10,400,100,20,64,4,20,3,128,3,256,64,0.001
3,1,4,2.0695316758874345,2.2665763053719856,0.4726027397260274,0.23515981735159816,1.2120535373687744,6.148104667663574,10,400,100,20,64,4,20,3,128,3,256,64,0.001
4,1,5,1.9567653359887807,2.2584104494417097,0.577054794520548,0.23515981735159816,1.212660789489746,7.680177211761475,10,400,100,20,64,4,20,3,128,3,256,64,0.001
5,1,6,1.885697634797118,2.3115466740577735,0.6449771689497716,0.1689497716894977,1.2186369895935059,9.218760967254639,10,400,100,20,64,4,20,3,128,3,256,64,0.001
6,1,7,1.8423807065780848,2.280912320907802,0.6763698630136986,0.20776255707762556,1.20668625831604,10.745523691177368,10,400,100,20,64,4,20,3,128,3,256,64,0.001
7,1,8,1.7848261219181427,2.2989696694291344,0.7385844748858448,0.19406392694063926,1.2259867191314697,12.254276752471924,10,400,100,20,64,4,20,3,128,3,256,64,0.001
8,1,9,1.7587347466107373,2.2923351618797265,0.761986301369863,0.19863013698630136,1.2026736736297607,13.740094661712646,10,400,100,20,64,4,20,3,128,3,256,64,0.001
9,1,10,1.712316752568772,2.2485078088769086,0.8179223744292238,0.2511415525114155,1.2163527011871338,15.241376399993896,10,400,100,20,64,4,20,3,128,3,256,64,0.001
10,1,11,1.6905612466542144,2.2672008009261737,0.8321917808219178,0.21232876712328766,1.2004978656768799,16.727206707000732,10,400,100,20,64,4,20,3,128,3,256,64,0.001
11,1,12,1.647371117927168,2.273826912657855,0.865296803652968,0.2146118721461187,1.2070186138153076,18.21685218811035,10,400,100,20,64,4,20,3,128,3,256,64,0.001
12,1,13,1.6324252472620577,2.2837052018675084,0.877283105022831,0.2100456621004566,1.20528244972229,19.705875873565674,10,400,100,20,64,4,20,3,128,3,256,64,0.001
13,1,14,1.6271918266331225,2.2823469606164384,0.882420091324201,0.20776255707762556,1.2116122245788574,21.201215267181396,10,400,100,20,64,4,20,3,128,3,256,64,0.001
14,1,15,1.6187623211237938,2.275040752811519,0.8921232876712328,0.21232876712328766,1.2173988819122314,22.70724630355835,10,400,100,20,64,4,20,3,128,3,256,64,0.001
15,1,16,1.5922717046519936,2.280699046235106,0.910958904109589,0.2146118721461187,1.2168428897857666,24.210855960845947,10,400,100,20,64,4,20,3,128,3,256,64,0.001
16,1,17,1.5779834337974792,2.2810247412555293,0.9269406392694064,0.2237442922374429,1.2209391593933105,25.719961643218994,10,400,100,20,64,4,20,3,128,3,256,64,0.001
17,1,18,1.5771274131182667,2.2942955330626607,0.9263698630136986,0.18949771689497716,1.2218830585479736,27.22919797897339,10,400,100,20,64,4,20,3,128,3,256,64,0.001
18,1,19,1.579770523663525,2.319647976252586,0.9246575342465754,0.1735159817351598,1.2141690254211426,28.728896379470825,10,400,100,20,64,4,20,3,128,3,256,64,0.001
19,1,20,1.5751265042448697,2.3003144982742936,0.9297945205479452,0.1963470319634703,1.282991647720337,30.300931215286255,10,400,100,20,64,4,20,3,128,3,256,64,0.001
20,1,21,1.570432144757275,2.269013705318921,0.9337899543378996,0.2237442922374429,1.206895112991333,31.795040130615234,10,400,100,20,64,4,20,3,128,3,256,64,0.001
21,1,22,1.5676991754470895,2.3380123817757386,0.9360730593607306,0.1461187214611872,1.205049753189087,33.290456771850586,10,400,100,20,64,4,20,3,128,3,256,64,0.001
22,1,23,1.5697363152351553,2.3154933703000142,0.930365296803653,0.17579908675799086,1.2067534923553467,34.7867386341095,10,400,100,20,64,4,20,3,128,3,256,64,0.001
23,1,24,1.5592153453391437,2.276159347464505,0.9383561643835616,0.2191780821917808,1.199958086013794,36.2750940322876,10,400,100,20,64,4,20,3,128,3,256,64,0.001
24,1,25,1.557672653024055,2.278337975070901,0.9440639269406392,0.21689497716894976,1.2076709270477295,37.77287244796753,10,400,100,20,64,4,20,3,128,3,256,64,0.001
25,1,26,1.5627447372157823,2.2917910362487515,0.9377853881278538,0.1963470319634703,1.2033793926239014,39.26774287223816,10,400,100,20,64,4,20,3,128,3,256,64,0.001
